Latitude (degs), Longitude (degs)
26.73,-82.03
67.88,21.07
29,-81
42,13.55
-25.64,28.08
68.4,-133.5
-77.81,166.69
-63.32,-57.9
-53,-71
-33.13,-70.67
78.22,15.39
-29.05,114.9
37.94,-75.49
47.84,11.14
19.82,-155.47
35.69,139.69
1.35,103.82
-72.1,2.32
70.37,31.1
69.65,18.96
58.34,8.59
38.69,-4.11
25.2,55.27
-20.35,57.55
8.54,-80.78
4.84,10.1
-46.02,167.81
5.16,-52.65
50,5.16
40.46,4.46
40.26,-3.57
27.45,-15.38
36.59,-25.08
-25.78,-69.4
50.12,9.92
-31.8,115.89
28.55,77.29
13.13,80.17
30.58,104.11
-6.34,106.86
55.02,82.84
-22.98,-43.35
9.01,38.76
-22.26,166.4
13.42,144.75
-15.97,-5.71
-4.63,55.45
-8.84,13.23
13.1,-59.63
59.65,-151.54
64.18,-51.74
43.06,141.34
-34.93,138.6
5.56,-0.2
6.52,3.38
-12.25,-76.88
-22.85,-47.21
11.83,42.59
24.45,54.38
22.32,114.18
48.09,-119.78
34.05,-118.24
34.15,-99.27
24.86,67.1
50.45,30.52
-32.23,148.63
39.74,-104.99
35.36,128.41
38.25,-122.28
45.42,-75.7
62.45,-114.37
47.56,-52.71
63.75,-68.52
52.13,-106.67
19.43,-99.13
14.55,-23.31
64.86,-147.85
