Semi-major axis (m), Eccentricity, Inclination (rads), RAAN (rads), Argument of Perigee (rads), Mean anomaly (rads)
7026411.273,0.05805,1.706831,1.45072,5.292139,0.979644
7014368.908,0.014619,0.098512,1.092703,2.770256,1.349811
7013620.611,0.014143,0.093902,1.184593,2.726797,2.332556
7016517.222,0.010534,0.100685,1.350201,2.054252,4.838892
6857291.739,0.006632,0.900594,5.767681,2.894706,1.362219
6859299.775,0.001965,0.889192,5.823669,4.632277,0.691948
6863819.056,0.005794,0.885483,5.960604,2.110677,6.12775
6867027.276,0.012805,0.888438,5.822224,1.614041,4.378007
6859089.018,0.007648,1.698628,4.940443,6.092858,2.407761
6867692.343,0.005928,1.698508,4.955641,6.11677,3.203081
6852004.537,0.005986,1.69991,4.949433,0.102019,4.78695
6863344.91,0.006029,1.698629,4.954247,6.126369,0.686896
6851367.106,0.008194,1.699825,4.950642,6.1204,1.798957
6867991.855,0.008098,1.699803,4.961061,0.017982,6.103449
6849317.424,0.00818,1.699852,4.963906,6.106946,1.899176
6869707.301,0.007494,1.699852,4.949252,0.044891,3.278978
6841036.203,0.010247,0.898944,4.477321,4.358816,3.624628
6848822.664,0.008951,0.89817,4.420965,4.443862,1.988716
6850614.55,0.010291,0.899399,4.487418,4.34218,5.537404
6849561.219,0.008202,0.882524,4.584939,4.228142,0.123745
6873480.614,0.015364,1.698308,4.775971,0.984398,4.824576
6869905.25,0.015458,1.698553,4.781047,0.941015,2.851725
6875660.577,0.015155,1.698515,4.788695,0.989908,1.948271
6874473.748,0.014809,1.698998,4.790262,0.951214,4.969379
6855429.152,0.011535,1.698841,4.807641,1.095883,0.164764
6869168.146,0.013014,1.698444,4.796538,1.13239,4.553342
6856236.808,0.01508,1.698557,4.802401,1.138341,3.453471
6871567.087,0.013319,1.698965,4.808362,1.111361,1.644365
6953329.369,0.012848,1.702774,1.918155,4.480569,3.646473
6969416.571,0.011674,1.702647,1.918665,4.350498,4.862626
6964609.472,0.011425,1.701887,1.915318,4.34718,2.548389
6969649.223,0.011293,1.701853,1.91775,4.412722,2.041545
6957978.052,0.011312,1.701828,1.921379,4.433201,4.075988
6969586.581,0.011432,1.701744,1.921447,4.318074,5.068554
6961340.656,0.011631,1.700895,1.914557,4.37573,2.59641
6827481.362,0.013166,1.691196,1.705586,0.819964,5.40708
6811750.372,0.000497,0.894374,2.952518,2.344785,4.212411
6798575.586,0.002719,0.885708,2.914763,5.864533,5.214397
6802578.762,0.003026,0.882948,2.961792,5.475758,2.174877
6813428.123,0.00298,0.883102,2.976468,0.219362,5.997542
6805216.918,0.002201,0.885309,2.956535,0.235184,3.758773
6812091.289,0.000936,0.894389,2.953431,2.131946,4.009001
6808865.885,0.001645,0.894133,2.992887,2.611384,2.900871
6802356.567,0.000648,0.885022,2.955057,2.451646,1.965838
6863793.096,0.011388,1.699908,4.990349,1.45036,2.362785
6869724.465,0.011198,1.699995,4.989238,1.477599,4.504143
6864332.825,0.011118,1.700022,4.991663,1.550886,4.120302
6868078.671,0.011042,1.700099,4.991186,1.516827,2.021617
6881379.834,0.033292,1.444948,5.803072,1.253554,1.460625
6888584.836,0.026127,1.444052,5.833139,1.428031,4.509272
6956509.876,0.013421,1.705183,2.183705,3.495595,2.803243
6938789.733,0.014744,1.704211,2.182563,3.603223,4.0897
6944622.968,0.012945,1.704167,2.183095,3.595371,4.901351
6951895.644,0.01287,1.704153,2.183394,3.526584,5.367045
6854002.996,0.008426,0.880765,3.19058,4.157472,5.616298
6843746.946,0.007322,0.879887,3.188306,4.192559,0.346281
6855282.519,0.008085,0.880785,3.191005,4.337801,5.012026
6855528.762,0.00826,0.894551,3.189918,4.355432,5.175605
6879306.482,0.018498,1.484729,4.997593,0.623311,2.100776
6879373.407,0.015912,1.484846,4.997829,0.341654,2.612029
6859099.26,0.022106,1.700758,5.032999,2.787872,3.873363
6849385.078,0.021017,1.700941,5.034336,2.814747,5.711364
6843095.197,0.021844,1.699461,5.028894,2.888907,4.783486
6861100.326,0.022426,1.699285,5.029526,2.810937,0.177869
6939877.041,0.012396,1.704548,2.193119,3.815531,3.677472
6939098.424,0.011488,1.705448,2.194957,3.914321,4.270815
6940746.991,0.010722,1.705448,2.195207,3.899927,4.416077
6953024.554,0.010664,1.705415,2.195717,3.726901,5.316525
6946079.023,0.009855,1.705435,2.19619,3.754993,0.160668
6946084.711,0.011362,1.704296,2.195391,3.644978,1.872396
6954567.444,0.010585,1.705503,2.197846,3.687977,2.607102
6943516.65,0.011972,1.70444,2.196431,3.680477,3.493217
6875587.934,0.013648,1.700349,4.841452,3.298578,5.688747
6878290.676,0.014041,1.700326,4.84156,3.311593,5.914136
6877500.398,0.014157,1.699983,4.838808,3.36382,0.0442
6871492.983,0.013173,1.700025,4.838826,3.380444,0.414986
6891863.686,0.024859,1.707618,3.134061,2.347805,5.862023
6890460.901,0.025009,1.702997,3.133828,2.370893,5.681754
6890535.651,0.02378,1.703053,3.133872,2.428135,5.629014
6891831.359,0.022479,1.703083,3.133963,2.445228,5.755435
6892831.716,0.024974,1.707632,3.134057,2.336818,5.948974
6890878.671,0.023725,1.703063,3.133855,2.431646,5.671112
6895180.28,0.025112,1.707668,3.134094,2.316294,6.122338
6890104.527,0.024103,1.701883,3.133804,2.456328,5.435808
